"BehaviorSpace results (NetLogo 6.0.4)"
"MAGENTA_ABM_combined.nlogo"
"MAGENTA_experiment_onefarmer"
"07/12/2019 16:20:55:285 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-7","7","-7","7"
"[run number]","bounded-rationality?","bonus-agg","bounded-threshold","base-p","persistence","bonus-wat","water-bonus","dist","change-lim","no-agents","[step]","budget","r:get ""ay.sum""","r:get ""hi""","r:get ""wq"""
"209","false","0","uniform","0","profit","0.2","as ES model","1","2","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"210","false","0","uniform","0","profit","0.2","as ES model","1","2","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"211","false","0","uniform","0","profit","0.2","as ES model","1","3","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"212","false","0","uniform","0","profit","0.2","as ES model","1","3","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"213","false","0","uniform","0","profit","0.2","as ES model","1","3","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"214","false","0","uniform","0","profit","0.2","as ES model","1","3","1","100","0","100.00522532015965","0","0"
"215","false","0","uniform","0","profit","0.2","as ES model","1","3","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"216","false","0","uniform","0","profit","0.2","as ES model","1","4","1","100","2.2737367544323206E-13","100.00522532015965","0","0"
"217","false","0","uniform","0","profit","0.2","as ES model","1","4","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"218","false","0","uniform","0","profit","0.2","as ES model","1","4","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"219","false","0","uniform","0","profit","0.2","as ES model","1","4","1","100","0","100.00522532015965","0","0"
"220","false","0","uniform","0","profit","0.2","as ES model","1","4","1","100","-2.8421709430404007E-13","100.00522532015965","0","0"
"221","false","0","uniform","0","profit","0.2","as ES model","1","5","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
